frame,id,x_m,y_m,speed_mps,speed_kmph,acc_mps2
50,1,10.62636618017536,25.990325322092716,0.166249112551439,0.5984968051851804,-0.04118397078899854
50,2,10.61867375647579,10.875468482622557,1.7209294836601692,6.195346141176609,-0.27474766494539243
50,3,1.4293277723629787,20.153568618851974,0.2837278068348973,1.0214201046056304,-0.06475998783200518
50,4,10.964590551415139,24.883602766673402,0.0,0.0,0.0
50,5,10.83367875596813,9.585849874788487,2.040599180934344,7.346157051363638,-0.3335166862901782
50,6,9.923716833225932,11.628148955006049,0.7038147441511624,2.5337330789441848,-0.1292285442994855
50,7,9.961181187752839,7.021127262554566,0.0,0.0,0.0
50,8,9.742566483298695,10.189286321146563,0.5629154454909147,2.0264956037672928,-0.12867410795359932
50,9,1.5128712800329371,20.012163863230537,0.09318682793480682,0.33547258056530455,-0.0229998662539897
50,10,1.601170900447795,17.48513009016949,0.6500541891683543,2.3401950810060757,-0.11484539023469588
50,11,1.3969314596947133,20.00468132452648,0.0,0.0,0.0
50,12,1.429700543615726,20.08045979159458,0.0,0.0,0.0
50,13,1.5935761213960793,18.84584861836447,0.0,0.0,0.0
50,14,9.973954662458166,13.517318914937292,0.5514471974989387,1.9852099109961792,-0.12505553098969266
50,15,2.0242512299717554,21.794366212162107,0.8129265256665213,2.926535492399477,-0.1903158227400343
50,16,2.1175702757070773,26.183286406397745,0.050793857077333304,0.1828578854783999,-0.012343047636032998
50,17,10.444253383194305,8.079270669352232,0.9435209125313333,3.3966752851128,-0.238136570411486
50,18,1.546408079485887,16.353403666832964,0.22630541410004507,0.8146994907601622,-0.05901072474077572
50,19,1.5596618648526377,15.989170892829463,0.3305469043767922,1.1899688557564518,-0.08619242480637804
50,20,10.66101671452411,13.661622208956244,1.3595062809389897,4.894222611380363,-0.453449487978529
50,21,10.61867375647579,10.875468482622557,0.0,0.0,0.0
50,22,10.139527670779103,14.108528411374545,0.0,0.0,0.0
50,23,10.108346602054969,15.625710036601799,0.3531980228426868,1.2715128822336725,-0.11780560697551674
50,24,9.993777375053261,19.455826418248442,1.9966172441339223,7.18782207888212,-0.7969067496959752
50,25,1.8819871380297748,22.49703683377266,0.025136412934346358,0.09049108656364689,-0.011295123663963213
50,26,1.5743310970561513,12.050590531246097,1.0911840377260726,3.9282625358138614,-0.5448635732170329
50,27,10.46837217310805,8.08304241162944,0.6526947062454184,2.3497009424835062,-0.32574293951159533
50,28,4.090585728128555,23.827181895572043,0.35212060783169685,1.2676341881941087,-0.1869512288989691
50,29,10.211334440866628,20.94809772909712,2.0638771955815667,7.42995790409364,-0.845529043154526
50,30,3.92894704570091,23.89339320226076,0.0,0.0,0.0
50,31,1.5826027585431761,12.40467709732295,0.6774212450347638,2.4387164821251495,-0.4919806293606199
50,32,2.0050872166457707,21.700677803326816,0.0,0.0,0.0
50,33,10.708363220424399,13.406981442537601,1.422752413352238,5.121908688068057,-1.1246907456227577
50,34,10.415985944799548,14.979455950060853,1.965771103901068,7.076775974043844,-1.553948914668123
50,35,10.724162900942305,12.171025448608498,0.0,0.0,0.0
50,36,2.0178850186338693,21.7632432839732,0.0,0.0,0.0
50,37,2.05268480617771,19.935976810768498,1.5829022143880394,5.698447971796941,-1.2512897219786665
50,38,2.036918828110963,21.85629515644111,0.0,0.0,0.0
50,39,1.992201493647173,21.63768249728652,0.0,0.0,0.0
50,40,2.0201803331038812,21.70147900538835,0.0,0.0,0.0
50,41,10.441726399077625,10.287286151236794,1.6885199997549492,6.078671999117817,1.7265871429590696
50,42,10.466527918761145,9.532342327209935,0.9735930706528961,3.504935054350426,-0.7696287184540956
50,43,4.239231275453859,21.154025941400775,1.2263462390015514,4.4148464604055855,-1.381570992348002
50,44,1.562229274946642,12.120486648036842,0.32380482545642164,1.165697371643118,-0.4187198611614433
50,45,1.562229274946642,12.120486648036842,0.24233276373197887,0.8723979494351239,-0.31336636519142597
50,46,1.562229274946642,12.120486648036842,0.24787784764707757,0.8923602515294793,-0.3205368474836092
50,47,4.239231275453859,21.154025941400775,0.9832167972613322,3.539580470140796,-2.067558155411362
50,48,4.229400591322402,21.218892375669753,0.8709181337786864,3.135305281603271,-1.8314108294380163
50,49,4.232053588285038,21.251592176205364,0.8715606387404891,3.137618299465761,-1.8327619214630577
50,50,4.240435984789065,20.785996068037804,2.2989425106742316,8.276193038427234,-0.14601744520720394
50,51,10.33963848298133,19.596704298268083,0.0,0.0,0.0
50,52,10.591670526529516,14.034582496592723,0.0,0.0,0.0
50,53,10.609346276638147,14.467128057054142,0.5773013731530003,2.0782849433508015,0.09883754407504997
50,54,1.9795987174349934,19.357031310409415,0.0,0.0,0.0
